# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
125243 2457501.09649 2753 0.0468 -3.2743425132e+05 1.5111037527e+03 -1.6868371434e+03 -9.9887132634e-01 6.9714636287e+00 -2.2225156093e-01 -1.5508039085e+05 1.5671182422e+03 1.3152310521e+03 -3.3338666872e+00 -1.7381185548e+00 -6.0590955742e-01
125244 2457501.11692 2401 0.0454 -3.2834770676e+05 1.5180517266e+03 -1.6855935603e+03 -1.0120569032e+00 6.9672269102e+00 -2.2041829334e-01 -1.5469948906e+05 1.5651693732e+03 1.3235036394e+03 -3.3313861622e+00 -1.7594256029e+00 -5.6124665310e-01
125245 2457501.13736 2944 0.0469 -3.2782701379e+05 1.5140307957e+03 -1.6868861166e+03 -1.0044294717e+00 6.9696635394e+00 -2.3171427835e-01 -1.5524759658e+05 1.5684586267e+03 1.3160130185e+03 -3.3364170625e+00 -1.7387421608e+00 -5.9517063143e-01
125246 2457501.15780 2608 0.0484 -3.2887624678e+05 1.5219336376e+03 -1.6861751826e+03 -1.0192563866e+00 6.9679678182e+00 -2.2746891310e-01 -1.5569218728e+05 1.5716737652e+03 1.3149922828e+03 -3.3423893152e+00 -1.7380239068e+00 -6.0955504492e-01
125247 2457501.17823 2437 0.0459 -3.2986788891e+05 1.5294980911e+03 -1.6845794412e+03 -1.0336569972e+00 6.9623386805e+00 -2.2609250472e-01 -1.5471699676e+05 1.5643849490e+03 1.3147289783e+03 -3.3286482814e+00 -1.7347773474e+00 -5.9897444135e-01
125248 2457501.19867 2927 0.0460 -3.2989659211e+05 1.5292523914e+03 -1.6888756310e+03 -1.0323600791e+00 6.9780127369e+00 -2.2776218260e-01 -1.5552499079e+05 1.5704519529e+03 1.3151094538e+03 -3.3400642576e+00 -1.7367116349e+00 -6.0135318478e-01
125249 2457501.21910 2276 0.0464 -3.3037871377e+05 1.5326957197e+03 -1.6902910040e+03 -1.0385045743e+00 6.9831233720e+00 -2.2867622572e-01 -1.5568396436e+05 1.5716907886e+03 1.3155274614e+03 -3.3423805388e+00 -1.7365501808e+00 -5.9332937395e-01
125250 2457501.23954 2070 0.0456 -3.2874363195e+05 1.5206711327e+03 -1.6887957258e+03 -1.0164174658e+00 6.9772047647e+00 -2.3052777305e-01 -1.5511714240e+05 1.5673209092e+03 1.3140758741e+03 -3.3340901578e+00 -1.7334372154e+00 -6.0405747867e-01
125251 2457501.25996 867 0.0443 -3.3155489996e+05 1.5422749748e+03 -1.6827692223e+03 -1.0579496310e+00 6.9535476574e+00 -2.3610767255e-01 -1.5813134651e+05 1.5904129016e+03 1.3199287295e+03 -3.3782368608e+00 -1.7543362216e+00 -5.9969654002e-01
125252 2457501.28041 2808 0.0642 -3.2673763537e+05 1.5060596530e+03 -1.6853486868e+03 -9.8976349490e-01 6.9657185111e+00 -2.2255595651e-01 -1.5435952460e+05 1.5619486562e+03 1.3173326221e+03 -3.3244165703e+00 -1.7422865657e+00 -5.8889959053e-01
125253 2457501.30085 2587 0.0449 -3.2813092015e+05 1.5159892026e+03 -1.6896077521e+03 -1.0075712528e+00 6.9787018233e+00 -2.3609137596e-01 -1.5433118794e+05 1.5615675473e+03 1.3157495421e+03 -3.3234618850e+00 -1.7377297335e+00 -5.9516738452e-01
125254 2457501.32127 2766 0.0440 -3.2785188011e+05 1.5135488922e+03 -1.6930366025e+03 -1.0023242736e+00 6.9919807620e+00 -2.3392673029e-01 -1.5420335782e+05 1.5612937524e+03 1.3220633479e+03 -3.3238005873e+00 -1.7534471361e+00 -5.5848397443e-01
125255 2457501.34172 2943 0.0450 -3.2751770552e+05 1.5115568704e+03 -1.6883896945e+03 -9.9946570835e-01 6.9760605899e+00 -2.2759782360e-01 -1.5468378586e+05 1.5641598303e+03 1.3152944503e+03 -3.3283007280e+00 -1.7374364610e+00 -6.0162578963e-01
125256 2457501.36215 2759 0.0449 -3.2774247757e+05 1.5133749169e+03 -1.6870831388e+03 -1.0030698072e+00 6.9721032763e+00 -2.2344392892e-01 -1.5468939715e+05 1.5643049808e+03 1.3162072908e+03 -3.3287111601e+00 -1.7398590201e+00 -5.9704261946e-01
125257 2457501.38259 2934 0.0444 -3.2749457626e+05 1.5116905318e+03 -1.6855956509e+03 -1.0001822715e+00 6.9675424633e+00 -2.1897322992e-01 -1.5497747680e+05 1.5664413151e+03 1.3160559703e+03 -3.3326845599e+00 -1.7395336006e+00 -5.9811782170e-01
125258 2457501.40302 2917 0.0438 -3.2800659220e+05 1.5154409032e+03 -1.6862568629e+03 -1.0071383066e+00 6.9682831438e+00 -2.2727398520e-01 -1.5523802834e+05 1.5683140617e+03 1.3152995656e+03 -3.3360473827e+00 -1.7367603919e+00 -5.9829324167e-01
125259 2457501.42346 2844 0.0459 -3.2857019925e+05 1.5194646847e+03 -1.6879496885e+03 -1.0142641729e+00 6.9753538468e+00 -2.2388523869e-01 -1.5464521777e+05 1.5636492660e+03 1.3128818707e+03 -3.3268858158e+00 -1.7275507132e+00 -5.9730238716e-01
125260 2457501.44389 2299 0.0452 -3.2930647560e+05 1.5250317058e+03 -1.6872685219e+03 -1.0247278226e+00 6.9738778608e+00 -2.1903165185e-01 -1.5516639561e+05 1.5676192474e+03 1.3136237258e+03 -3.3344855084e+00 -1.7311138255e+00 -6.0097406247e-01
125261 2457501.46433 1274 0.0443 -3.2936215399e+05 1.5253178108e+03 -1.6885316804e+03 -1.0250398071e+00 6.9782054486e+00 -2.2100120562e-01 -1.5527804047e+05 1.5683457130e+03 1.3125089661e+03 -3.3356380723e+00 -1.7269065696e+00 -6.0080018024e-01
125262 2457501.48474 252 0.0466 -3.2830599021e+05 1.5262116922e+03 -1.6053597959e+03 -1.0436616730e+00 6.6562836566e+00 -2.7855843174e-01 -1.4888529469e+05 1.5198011734e+03 1.3037104109e+03 -3.2434287898e+00 -1.6924705256e+00 -5.9260612738e-01
125264 2457501.52564 1408 0.0575 -3.3302938996e+05 1.5507037459e+03 -1.7063406964e+03 -1.0686859134e+00 7.0453493016e+00 -2.1528972643e-01 -1.5439847867e+05 1.5618001619e+03 1.3136114640e+03 -3.3231308009e+00 -1.7248679512e+00 -5.7259102435e-01
125265 2457501.54607 1849 0.0431 -3.2844905860e+05 1.5172874060e+03 -1.6996230523e+03 -1.0078918321e+00 7.0179448896e+00 -2.2648481490e-01 -1.5608761970e+05 1.5745547062e+03 1.3151209637e+03 -3.3475274556e+00 -1.7365034517e+00 -6.0047759331e-01
125266 2457501.56650 2032 0.0409 -3.2902143107e+05 1.5220426502e+03 -1.6949849393e+03 -1.0177687075e+00 6.9986566836e+00 -2.3612322043e-01 -1.5573974485e+05 1.5719717236e+03 1.3151707125e+03 -3.3427951344e+00 -1.7378667697e+00 -6.0600916432e-01
125267 2457501.58694 1029 0.0410 -3.3056131023e+05 1.5343879808e+03 -1.6869912068e+03 -1.0422247146e+00 6.9719482432e+00 -2.2181857818e-01 -1.5483151142e+05 1.5654024350e+03 1.3169670096e+03 -3.3310924893e+00 -1.7476374603e+00 -6.2027396637e-01
125268 2457501.60736 530 0.0447 -3.3082480597e+05 1.5356690801e+03 -1.6932739997e+03 -1.0436008655e+00 6.9904483418e+00 -2.4496455611e-01 -1.5535033775e+05 1.5692072888e+03 1.3162309553e+03 -3.3376157842e+00 -1.7365035421e+00 -5.8118872935e-01
125269 2457501.62779 872 0.0401 -3.3013779538e+05 1.5305974940e+03 -1.6928195576e+03 -1.0345151778e+00 6.9836353780e+00 -2.6901246530e-01 -1.5416717811e+05 1.5614085811e+03 1.3257150186e+03 -3.3247424946e+00 -1.7673452997e+00 -5.6020577588e-01
125270 2457501.64825 695 0.0433 -3.3418240550e+05 1.5621689693e+03 -1.6799916121e+03 -1.0957391297e+00 6.9407006088e+00 -2.4635302182e-01 -1.5446842058e+05 1.5638811721e+03 1.3277593114e+03 -3.3297242735e+00 -1.7740528860e+00 -5.5593514373e-01
125271 2457501.66867 492 0.0394 -3.3115351082e+05 1.5384093887e+03 -1.6906133742e+03 -1.0492983983e+00 6.9795282994e+00 -2.5016511134e-01 -1.5658126367e+05 1.5783440936e+03 1.3157716241e+03 -3.3547206331e+00 -1.7376405536e+00 -5.9457578972e-01
125272 2457501.68919 16 0.5819 5.2049686907e+05 -3.7193375558e+03 8.6915852442e+03 6.9086495138e+00 -2.8046802716e+01 1.7250765084e+01 -1.2029244472e+06 7.8232686758e+03 -1.3445505793e+04 -1.2569723136e+01 4.4277502733e+01 -4.3278395307e+01
125273 2457501.70954 379 0.0404 -3.3554182996e+05 1.5729498773e+03 -1.6732667156e+03 -1.1167470126e+00 6.9209575288e+00 -2.2214073145e-01 -1.5208889338e+05 1.5450392344e+03 1.3170898849e+03 -3.2923804132e+00 -1.7310042510e+00 -5.4022378800e-01
125274 2457501.72998 675 0.0421 -3.3091210745e+05 1.5370742875e+03 -1.6863606274e+03 -1.0475565704e+00 6.9658875715e+00 -2.4016516574e-01 -1.5640699464e+05 1.5764815744e+03 1.3102204074e+03 -3.3501918893e+00 -1.7167503222e+00 -5.9325981955e-01
125275 2457501.75050 16 0.2263 -1.0945340349e+05 3.5214421552e+02 2.7156835068e+03 5.4348707970e-01 -4.6998977884e+00 2.2143846325e+01 1.0943404939e+06 -5.7331171433e+03 2.0432562283e+04 7.1174602375e+00 -6.1636241906e+01 5.3228013498e+01
125276 2457501.77086 2193 0.0426 -3.2810221074e+05 1.5160505157e+03 -1.6873182407e+03 -1.0079998753e+00 6.9737285995e+00 -2.2069250999e-01 -1.5394119447e+05 1.5580887658e+03 1.3098517503e+03 -3.3159689575e+00 -1.7167765536e+00 -5.9964744575e-01
125277 2457501.79129 2201 0.0422 -3.3105195128e+05 1.5379151467e+03 -1.6884322645e+03 -1.0486399577e+00 6.9755283832e+00 -2.3189854182e-01 -1.5541128570e+05 1.5701547127e+03 1.3201996327e+03 -3.3403301902e+00 -1.7518401012e+00 -5.8331251256e-01
125278 2457501.81174 1973 0.0444 -3.3398988462e+05 1.5606398076e+03 -1.6808845690e+03 -1.0924150175e+00 6.9494628776e+00 -2.2234120365e-01 -1.5484644139e+05 1.5656378920e+03 1.3171512472e+03 -3.3316386444e+00 -1.7460182471e+00 -6.0911540092e-01
125279 2457501.83215 1287 0.0410 -3.3207835597e+05 1.5456867471e+03 -1.6873791418e+03 -1.0635307000e+00 6.9681644323e+00 -2.4819783229e-01 -1.5575022161e+05 1.5720923063e+03 1.3144622780e+03 -3.3430041197e+00 -1.7334669780e+00 -5.9733702554e-01
125280 2457501.85258 819 0.0418 -3.2529196948e+05 1.4942674045e+03 -1.6952012668e+03 -9.6579771918e-01 7.0039950569e+00 -2.1729657702e-01 -1.5718947136e+05 1.5837309858e+03 1.3229047617e+03 -3.3663200292e+00 -1.7636425697e+00 -5.9130604305e-01
125281 2457501.87303 352 0.0439 -3.2605172519e+05 1.4979152740e+03 -1.7143141480e+03 -9.6841874030e-01 7.0832285826e+00 -1.7939863010e-01 -1.6000300971e+05 1.6035079615e+03 1.3118579228e+03 -3.4006575547e+00 -1.7170262198e+00 -5.6569562830e-01
125282 2457501.89347 551 0.0348 -3.2556098487e+05 1.4971632531e+03 -1.6869071848e+03 -9.7289230996e-01 6.9722602149e+00 -2.2178991670e-01 -1.5854318669e+05 1.5937617178e+03 1.3222384985e+03 -3.3849751843e+00 -1.7625240979e+00 -5.9747389981e-01
