# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
125243 2457501.09627 3457 0.0889 -3.4342139190e+05 1.6142733819e+03 -1.6248486655e+03 -1.1971181197e+00 6.7396531310e+00 -2.3065673287e-01 -1.4612137507e+05 1.5076407179e+03 1.3994388575e+03 -3.2348099631e+00 -2.0249624776e+00 -5.1496384919e-01
125244 2457501.11668 2635 0.0886 -3.4757554900e+05 1.6443853122e+03 -1.6300647301e+03 -1.2517241625e+00 6.7578056884e+00 -2.3600164798e-01 -1.4465262369e+05 1.4973506987e+03 1.4046304851e+03 -3.2164487299e+00 -2.0365917470e+00 -4.7861318322e-01
125245 2457501.13714 2744 0.0881 -3.4275807101e+05 1.6091773033e+03 -1.6268241850e+03 -1.1875114976e+00 6.7437195244e+00 -2.4638222598e-01 -1.4563172498e+05 1.5045428591e+03 1.4043188552e+03 -3.2300242118e+00 -2.0425686658e+00 -5.1310973828e-01
125246 2457501.15757 2524 0.0853 -3.4301301798e+05 1.6115365416e+03 -1.6222157067e+03 -1.1925910452e+00 6.7296667070e+00 -2.3237776009e-01 -1.4573616978e+05 1.5049576784e+03 1.4007745344e+03 -3.2300793223e+00 -2.0284377710e+00 -5.0792261273e-01
125247 2457501.17801 3417 0.0855 -3.4292077877e+05 1.6106078719e+03 -1.6246387846e+03 -1.1904671049e+00 6.7376914044e+00 -2.3690966336e-01 -1.4601608426e+05 1.5071973636e+03 1.4024048733e+03 -3.2345083695e+00 -2.0339788536e+00 -5.0557369234e-01
125248 2457501.19844 2947 0.0857 -3.4369116608e+05 1.6165321635e+03 -1.6223235620e+03 -1.2018351168e+00 6.7291920936e+00 -2.3680476912e-01 -1.4553643004e+05 1.5032674774e+03 1.3985290309e+03 -3.2265233925e+00 -2.0193970889e+00 -5.0423801608e-01
125249 2457501.21888 2986 0.0872 -3.4205705830e+05 1.6045366839e+03 -1.6218708448e+03 -1.1797530494e+00 6.7288205594e+00 -2.3078196517e-01 -1.4737790151e+05 1.5173295769e+03 1.4031432370e+03 -3.2532986869e+00 -2.0356460900e+00 -5.0046947796e-01
125250 2457501.23931 2533 0.0889 -3.4647210279e+05 1.6362710739e+03 -1.6299731611e+03 -1.2370784038e+00 6.7521357587e+00 -2.6257596923e-01 -1.4494327924e+05 1.4996174879e+03 1.4054700732e+03 -3.2212207420e+00 -2.0467136264e+00 -5.1234045120e-01
125251 2457501.25973 28 0.2702 -2.3793061987e+05 7.0895375688e+02 -2.8860081835e+03 7.3531056517e-01 1.1952453023e+01 2.5431254917e+00 -9.6195734847e+04 1.0136458274e+03 1.6085972865e+02 -2.0640481986e+00 3.0936207104e+00 2.1961796016e+00
125252 2457501.28019 3235 0.0975 -3.4300897229e+05 1.6113180906e+03 -1.6241051358e+03 -1.1918208179e+00 6.7371124679e+00 -2.2923839381e-01 -1.4591358133e+05 1.5059816998e+03 1.3984311266e+03 -3.2313940528e+00 -2.0188916944e+00 -5.0377747004e-01
125253 2457501.30062 3169 0.0869 -3.4324172597e+05 1.6136926324e+03 -1.6177074185e+03 -1.1973321472e+00 6.7150735871e+00 -2.2162970453e-01 -1.4690154337e+05 1.5130494631e+03 1.3963838114e+03 -3.2440739998e+00 -2.0123193953e+00 -5.0840110777e-01
125254 2457501.32106 3182 0.0872 -3.4240712507e+05 1.6074899224e+03 -1.6181510341e+03 -1.1858288705e+00 6.7162991523e+00 -2.2373565582e-01 -1.4698668483e+05 1.5137869934e+03 1.3973848313e+03 -3.2456571648e+00 -2.0164229644e+00 -5.1039219435e-01
125255 2457501.34149 3458 0.0887 -3.4371263225e+05 1.6166081233e+03 -1.6230689893e+03 -1.2017475597e+00 6.7335047443e+00 -2.2840618967e-01 -1.4583128219e+05 1.5054762883e+03 1.3992886717e+03 -3.2307486436e+00 -2.0239527815e+00 -5.1283116160e-01
125256 2457501.36193 2662 0.0889 -3.4691897673e+05 1.6401282760e+03 -1.6243903006e+03 -1.2449587625e+00 6.7368146110e+00 -2.3613158707e-01 -1.4429206508e+05 1.4943654318e+03 1.4015738826e+03 -3.2106066659e+00 -2.0304399929e+00 -5.0346783762e-01
125257 2457501.38236 3201 0.0882 -3.4354292610e+05 1.6151624486e+03 -1.6249500102e+03 -1.1987514670e+00 6.7398852729e+00 -2.3133872873e-01 -1.4559313401e+05 1.5038401006e+03 1.4003468679e+03 -3.2279218007e+00 -2.0272323140e+00 -5.0976260169e-01
125258 2457501.40280 3201 0.0866 -3.4274599289e+05 1.6093006487e+03 -1.6247967742e+03 -1.1879607423e+00 6.7395214717e+00 -2.3060177161e-01 -1.4565940177e+05 1.5043965552e+03 1.4008434756e+03 -3.2290472275e+00 -2.0285763345e+00 -5.0741852035e-01
125259 2457501.42323 3170 0.0850 -3.4317908685e+05 1.6123576906e+03 -1.6261346500e+03 -1.1933140713e+00 6.7450260084e+00 -2.2799289303e-01 -1.4621498893e+05 1.5083748794e+03 1.3996410926e+03 -3.2362202441e+00 -2.0252350662e+00 -5.1258610328e-01
125260 2457501.44367 2927 0.0844 -3.4103838732e+05 1.5967992663e+03 -1.6239970741e+03 -1.1650959595e+00 6.7362502278e+00 -2.3248779881e-01 -1.4671854325e+05 1.5122619055e+03 1.4012617076e+03 -3.2436215742e+00 -2.0295709516e+00 -5.0466444368e-01
125261 2457501.46408 1010 0.0836 -3.4220742370e+05 1.6086675008e+03 -1.5924585436e+03 -1.1923598753e+00 6.6315069477e+00 -1.7733061139e-01 -1.4430321516e+05 1.4911510875e+03 1.3689757853e+03 -3.1984150251e+00 -1.9065206087e+00 -4.8501345578e-01
125262 2457501.48452 120 0.2976 -3.5188213026e+05 1.6455754864e+03 -1.9297648292e+03 -1.1835046389e+00 8.1380329391e+00 1.1100986177e+00 -1.4479598812e+05 1.4127851064e+03 5.6598035369e+02 -2.8803140190e+00 1.4944824302e+00 1.6725432705e+00
125263 2457501.50496 19 0.2661 -5.0503184543e+05 2.7409658431e+03 -2.2420870170e+03 -3.1325279884e+00 9.4425332267e+00 1.8624890086e+00 -9.7881694885e+05 7.5061871601e+03 1.3173228047e+02 -1.4008789499e+01 3.1033466494e+00 1.7216183324e+00
125264 2457501.52541 2675 0.0899 -3.4260161968e+05 1.6087899251e+03 -1.6192576476e+03 -1.1881141878e+00 6.7178892697e+00 -2.3469944062e-01 -1.4614449641e+05 1.5075598104e+03 1.3976429875e+03 -3.2342365657e+00 -2.0191526036e+00 -5.1915574080e-01
125265 2457501.54583 1666 0.0871 -3.4325521668e+05 1.6140321907e+03 -1.6153108503e+03 -1.1985721738e+00 6.7030060002e+00 -2.3651453541e-01 -1.4705904908e+05 1.5139583423e+03 1.3942010696e+03 -3.2451183135e+00 -2.0011415166e+00 -4.9362817205e-01
125266 2457501.56626 2571 0.0880 -3.4343321418e+05 1.6147418205e+03 -1.6211024652e+03 -1.1989353994e+00 6.7211207160e+00 -2.5233550925e-01 -1.4620540353e+05 1.5079544517e+03 1.3970368300e+03 -3.2348654103e+00 -2.0169441329e+00 -5.1923381629e-01
125267 2457501.58672 2099 0.0860 -3.3661815101e+05 1.5649791145e+03 -1.6165976664e+03 -1.1075678858e+00 6.7148675660e+00 -2.0243417223e-01 -1.5073292156e+05 1.5402766803e+03 1.3866695904e+03 -3.2923090911e+00 -1.9751951441e+00 -5.0210121018e-01
125268 2457501.60713 1327 0.0848 -3.4235681868e+05 1.6073947677e+03 -1.6154809572e+03 -1.1861933264e+00 6.7059394701e+00 -2.2561567812e-01 -1.4835996137e+05 1.5244422910e+03 1.4025054753e+03 -3.2662966945e+00 -2.0357502004e+00 -5.1267703301e-01
125269 2457501.62754 586 0.0916 -3.4205388707e+05 1.6059839843e+03 -1.6074679661e+03 -1.1856081421e+00 6.6666615334e+00 -2.7320721571e-01 -1.4908482530e+05 1.5272731907e+03 1.3782443677e+03 -3.2662655867e+00 -1.9343593989e+00 -4.5471528057e-01
125270 2457501.64800 1327 0.0888 -3.3721489168e+05 1.5694351196e+03 -1.6160259720e+03 -1.1160585198e+00 6.7093328723e+00 -2.1958537896e-01 -1.5161987346e+05 1.5469302571e+03 1.3876400460e+03 -3.3047664560e+00 -1.9784851909e+00 -5.0089104367e-01
125271 2457501.66844 834 0.0924 -3.3436233505e+05 1.5472633543e+03 -1.6271455870e+03 -1.0725619912e+00 6.7604925315e+00 -1.7065510370e-01 -1.4964844393e+05 1.5308889689e+03 1.3729416007e+03 -3.2718752660e+00 -1.9136806870e+00 -4.4938236917e-01
125272 2457501.68888 375 0.0951 -3.4005618638e+05 1.5842202752e+03 -1.6757092792e+03 -1.1323754285e+00 6.9209606942e+00 -2.6116048782e-01 -1.4869147739e+05 1.5247085778e+03 1.3807177031e+03 -3.2626649446e+00 -1.9535374432e+00 -5.0445953577e-01
125273 2457501.70931 88 0.3100 -3.2217870837e+05 1.4391529027e+03 -1.8099801427e+03 -8.2201622733e-01 7.7776781621e+00 1.5042247632e+00 -1.2966818372e+05 1.3629417924e+03 1.1676082357e+03 -2.9009508914e+00 -7.0247271197e-01 1.7620531780e+00
125274 2457501.72975 816 0.0894 -3.4032527137e+05 1.5919709052e+03 -1.6199834224e+03 -1.1572863075e+00 6.7156942021e+00 -2.6012396180e-01 -1.5326914059e+05 1.5612455372e+03 1.4079323280e+03 -3.3347187833e+00 -2.0453925176e+00 -4.6252562806e-01
125275 2457501.75018 76 0.3614 -4.5196220245e+05 2.4036703470e+03 -1.7236259203e+03 -2.6144928834e+00 7.4469711904e+00 1.4382346088e+00 -2.0615754662e+05 1.8798922627e+03 7.1412202286e+02 -3.7667555213e+00 9.7938586377e-01 1.8202749592e+00
125276 2457501.77062 2434 0.0874 -3.4404526353e+05 1.6189454858e+03 -1.6243442276e+03 -1.2060431658e+00 6.7342474067e+00 -2.4841688428e-01 -1.4636320003e+05 1.5088839273e+03 1.3938717556e+03 -3.2359992438e+00 -2.0023838044e+00 -5.0504841922e-01
125277 2457501.79107 2682 0.0865 -3.4333436420e+05 1.6138436643e+03 -1.6230020809e+03 -1.1968144791e+00 6.7308718980e+00 -2.4097125129e-01 -1.4585401192e+05 1.5067157189e+03 1.4091043361e+03 -3.2349166326e+00 -2.0583006085e+00 -5.0363508740e-01
125278 2457501.81151 2127 0.0873 -3.4463516338e+05 1.6230017554e+03 -1.6272656242e+03 -1.2128166190e+00 6.7481210618e+00 -2.3383935235e-01 -1.4464908896e+05 1.4971669718e+03 1.4026945965e+03 -3.2161173140e+00 -2.0352051317e+00 -5.0627053337e-01
125279 2457501.83195 2185 0.0869 -3.4223415600e+05 1.6059469354e+03 -1.6210515155e+03 -1.1825239178e+00 6.7261993664e+00 -2.2909581604e-01 -1.4727115245e+05 1.5167057807e+03 1.4045534124e+03 -3.2524936074e+00 -2.0416666026e+00 -5.0425392936e-01
125280 2457501.85233 2138 0.0890 -3.4274795712e+05 1.6095960471e+03 -1.6223273270e+03 -1.1890971504e+00 6.7288649088e+00 -2.3919743012e-01 -1.4698695116e+05 1.5147215738e+03 1.4055357825e+03 -3.2489290178e+00 -2.0431291201e+00 -4.9386316993e-01
125281 2457501.87279 2136 0.0885 -3.4391501201e+05 1.6180643614e+03 -1.6237510033e+03 -1.2047322610e+00 6.7287330827e+00 -2.6539233856e-01 -1.4483921627e+05 1.4983643164e+03 1.4003190031e+03 -3.2179598233e+00 -2.0266527102e+00 -5.0708539066e-01
125282 2457501.89323 825 0.0929 -3.5489094444e+05 1.6975738927e+03 -1.6378555684e+03 -1.3489749346e+00 6.7748670914e+00 -2.9438531683e-01 -1.4996546891e+05 1.5322054619e+03 1.3613261749e+03 -3.2725301698e+00 -1.8731426749e+00 -4.6112014050e-01
125283 2457501.91367 808 0.0879 -3.3561127578e+05 1.5545148808e+03 -1.6464526767e+03 -1.0827802245e+00 6.8225913389e+00 -2.1653616916e-01 -1.4769419687e+05 1.5176732565e+03 1.3832321086e+03 -3.2498649431e+00 -1.9543876825e+00 -4.6201744914e-01
125284 2457501.93412 1122 0.0926 -3.4524281101e+05 1.6260808680e+03 -1.6409447338e+03 -1.2159512107e+00 6.7976223902e+00 -2.3945548647e-01 -1.4872001293e+05 1.5280981009e+03 1.4107410474e+03 -3.2749434726e+00 -2.0671824395e+00 -5.1705338211e-01
125285 2457501.95454 972 0.0882 -3.3693803434e+05 1.5651164473e+03 -1.6383406770e+03 -1.1040965339e+00 6.7874792827e+00 -2.4232031690e-01 -1.4480645533e+05 1.4954964761e+03 1.3746337588e+03 -3.2075238811e+00 -1.9261562571e+00 -4.7978198821e-01
125286 2457501.97497 1091 0.0875 -3.4017179686e+05 1.5901052096e+03 -1.6270632576e+03 -1.1521076633e+00 6.7490307623e+00 -2.2736409238e-01 -1.4706945713e+05 1.5154350028e+03 1.4058611795e+03 -3.2507193171e+00 -2.0496814992e+00 -5.1925776050e-01
