# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
125265 2457501.54600 992 0.0725 2.7909762618e+05 -1.1265817511e+03 1.7685642046e+03 2.6613372292e-01 -7.3117905305e+00 5.3920356089e-02 1.5342172548e+05 -1.5244115075e+03 -1.1776182345e+03 3.2169576611e+00 1.0162981794e+00 -4.0337134674e-01
125266 2457501.56642 1002 0.0757 2.7974300964e+05 -1.1307404369e+03 1.7746203918e+03 2.7291257280e-01 -7.3297406672e+00 7.5864948326e-02 1.5291715280e+05 -1.5192152966e+03 -1.1633106530e+03 3.2066699224e+00 1.0031936091e+00 -2.0804925574e-01
125267 2457501.58686 848 0.0784 2.7939378265e+05 -1.1409353887e+03 1.6499710790e+03 3.0712198968e-01 -7.0317001991e+00 -7.2654280234e-01 1.6228897381e+05 -1.5837056034e+03 -1.1144595763e+03 3.3150961487e+00 7.8582216389e-01 -3.8564348747e-01
125268 2457501.60731 488 0.0633 2.8430312260e+05 -1.1644321598e+03 1.7760011665e+03 3.3541955434e-01 -7.3294734401e+00 1.0225079912e-01 1.4903576952e+05 -1.4976641169e+03 -1.2338610816e+03 3.1795522791e+00 1.2533385730e+00 -2.6541985572e-01
125269 2457501.62773 533 0.0758 2.9491987149e+05 -1.2492080716e+03 1.7176254819e+03 4.9840463532e-01 -7.2182964445e+00 -4.1162133205e-01 1.6167333107e+05 -1.5876424550e+03 -1.1971372008e+03 3.3349849557e+00 1.0302445602e+00 -6.8992882355e-01
125270 2457501.64818 172 0.0751 3.3897644802e+05 -1.5850251596e+03 1.6337098073e+03 1.1386595475e+00 -6.8922130848e+00 -3.4108834426e-01 6.8817838787e+04 -8.9752051952e+02 -1.1909299697e+03 2.0562669807e+00 1.0770357026e+00 -3.4784531746e-01
125271 2457501.66858 294 0.0737 2.7124005800e+05 -1.0756426525e+03 1.6964617135e+03 1.7869287703e-01 -7.1732268492e+00 -5.7448193326e-01 1.6665640263e+05 -1.6332428374e+03 -1.2815122171e+03 3.4316657920e+00 1.2665709198e+00 -1.0662603463e+00
125273 2457501.70946 396 0.0960 2.7273828219e+05 -1.0832495783e+03 1.7313069034e+03 1.9148011278e-01 -7.2008291102e+00 -7.6128988715e-02 1.4014937434e+05 -1.4237257422e+03 -1.1548802478e+03 3.0298200524e+00 1.0048706627e+00 -4.6566798344e-02
125274 2457501.72988 154 0.0781 3.0273664493e+05 -1.2781379458e+03 2.0013953090e+03 5.1378264395e-01 -7.9656081696e+00 1.0804025344e+00 1.5916646634e+05 -1.6011534613e+03 -1.5104172667e+03 3.4086385952e+00 1.9780232979e+00 -1.7378480782e+00
125276 2457501.77078 847 0.0790 2.7533511515e+05 -1.1030585648e+03 1.7260056270e+03 2.2960463569e-01 -7.1740472713e+00 -4.2335190098e-02 1.5579440217e+05 -1.5382986706e+03 -1.1404965831e+03 3.2399735146e+00 9.5955278332e-01 -8.8690289097e-03
125277 2457501.79121 1143 0.0764 2.7976002155e+05 -1.1359261940e+03 1.7255562963e+03 2.8953772447e-01 -7.1939491832e+00 -1.4791180089e-01 1.5877302972e+05 -1.5606080087e+03 -1.1426137765e+03 3.2798813781e+00 9.3098522883e-01 -1.8703367689e-01
125278 2457501.81165 1174 0.0767 2.8210817859e+05 -1.1446762288e+03 1.8102761594e+03 2.9389998735e-01 -7.4258051031e+00 2.5496363656e-01 1.5820141108e+05 -1.5575255008e+03 -1.1537591107e+03 3.2765099464e+00 9.7616782447e-01 -1.6840817799e-01
125279 2457501.83208 921 0.0782 2.8249958346e+05 -1.1514534089e+03 1.7723254508e+03 3.1115240848e-01 -7.3339702766e+00 1.5645820616e-02 1.6059391962e+05 -1.5717516030e+03 -1.1192809305e+03 3.2979461774e+00 8.7925986123e-01 -1.7090824055e-02
125280 2457501.85252 588 0.0750 2.8949020387e+05 -1.2009592383e+03 1.7951367179e+03 3.9750541875e-01 -7.4400718108e+00 -8.9629354130e-02 1.6339655866e+05 -1.6012339256e+03 -1.2042159002e+03 3.3634002093e+00 1.0898607732e+00 -5.2751768322e-01
125281 2457501.87295 364 0.0764 2.8468728886e+05 -1.1623575005e+03 1.8242517055e+03 3.2170722516e-01 -7.5222407351e+00 3.8279924503e-02 1.6147717088e+05 -1.5787503540e+03 -1.1234195064e+03 3.3112794264e+00 8.8520136238e-01 -6.3760755115e-02
125282 2457501.89338 292 0.0808 2.9657935758e+05 -1.2498964862e+03 1.8316094020e+03 4.8420455781e-01 -7.5220703139e+00 1.7198187076e-01 1.6711619489e+05 -1.6215947735e+03 -1.1336879537e+03 3.3872892051e+00 8.1902298368e-01 -5.7406560098e-01
125283 2457501.91384 180 0.0820 3.2537507690e+05 -1.4580282548e+03 1.8857654506e+03 8.5535353603e-01 -7.8143816716e+00 -2.7478730753e-01 1.5802541081e+05 -1.5456819943e+03 -1.0519122696e+03 3.2347231080e+00 5.9312649613e-01 -1.9348421537e-01
125284 2457501.93425 159 0.0667 2.7583670193e+05 -1.1188167144e+03 1.6088481567e+03 2.7181730804e-01 -6.9216738292e+00 -9.3044518911e-01 1.5670338007e+05 -1.5776014552e+03 -1.4573836463e+03 3.3564125788e+00 1.8058779992e+00 -1.6169887271e+00
125285 2457501.95476 33 0.0941 -1.0116512196e+06 7.9830211311e+03 -2.9219196822e+03 -1.5772328504e+01 9.9110965342e+00 -9.4669970300e-01 6.9271254896e+05 -5.3135487847e+03 9.4591016000e+02 9.8632750094e+00 -6.6276787319e+00 7.9134718593e-01
125286 2457501.97514 409 0.0758 2.8349750300e+05 -1.1586568204e+03 1.7743512371e+03 3.2258561373e-01 -7.3716855347e+00 -1.3030161267e-01 1.6435471242e+05 -1.6007735297e+03 -1.1296599369e+03 3.3514740559e+00 8.7120642194e-01 -2.4503361526e-01
125288 2457502.01600 1290 0.0905 2.7560040926e+05 -1.1151212464e+03 1.6272014180e+03 2.6289248031e-01 -6.9601550161e+00 -7.8845779133e-01 1.5676645436e+05 -1.5458957478e+03 -1.1446169259e+03 3.2529261215e+00 9.3865104441e-01 -1.8543958255e-01
125289 2457502.03644 1168 0.0736 2.7990863681e+05 -1.1403910702e+03 1.6926019714e+03 3.0047103514e-01 -7.1418090657e+00 -4.9108072130e-01 1.5773500518e+05 -1.5533737971e+03 -1.1472158567e+03 3.2680453166e+00 9.6216679791e-01 -1.1738369484e-01
125290 2457502.05687 1390 0.0736 2.8122644587e+05 -1.1496071816e+03 1.6980700495e+03 3.1585246757e-01 -7.1751569168e+00 -5.5448086100e-01 1.5533662711e+05 -1.5392266128e+03 -1.1830241341e+03 3.2460425303e+00 1.0455211781e+00 -3.5963783012e-01
125291 2457502.07730 1133 0.0720 2.7921379300e+05 -1.1336508527e+03 1.7082101616e+03 2.8583939906e-01 -7.1837313309e+00 -4.1213160153e-01 1.5682847010e+05 -1.5489343993e+03 -1.1696949617e+03 3.2614833145e+00 9.9523828304e-01 -3.6385628373e-01
125292 2457502.09775 1416 0.0724 2.7926176389e+05 -1.1324009219e+03 1.7239340785e+03 2.8248424028e-01 -7.2041668466e+00 -2.2717410072e-01 1.5773653317e+05 -1.5541599572e+03 -1.1548184642e+03 3.2699291807e+00 9.7047528676e-01 -2.1528322962e-01
125293 2457502.11818 1265 0.0723 2.7932979474e+05 -1.1307671040e+03 1.7447899073e+03 2.7709039354e-01 -7.2502083526e+00 -7.4091354967e-02 1.5802104901e+05 -1.5578284214e+03 -1.1700104338e+03 3.2788320774e+00 1.0113207331e+00 -2.9139829287e-01
125294 2457502.13862 1260 0.0697 2.8181616107e+05 -1.1473419890e+03 1.7630329285e+03 3.0489171545e-01 -7.3075670139e+00 -2.3830975836e-02 1.5959591714e+05 -1.5676435670e+03 -1.1516982938e+03 3.2938745046e+00 9.4933337302e-01 -2.6239569554e-01
125295 2457502.15905 1415 0.0746 2.8158707600e+05 -1.1443550023e+03 1.7756691939e+03 2.9807947119e-01 -7.3326133622e+00 8.3006364356e-02 1.6004493049e+05 -1.5696041704e+03 -1.1381922486e+03 3.2957209836e+00 9.1396081361e-01 -1.9032480434e-01
125296 2457502.17949 1392 0.0767 2.8387872564e+05 -1.1619857492e+03 1.7694523541e+03 3.3125965582e-01 -7.3229867762e+00 1.7412074054e-02 1.6032230607e+05 -1.5716382745e+03 -1.1378742907e+03 3.2997633336e+00 9.1891088124e-01 -1.6040237443e-01
125297 2457502.19992 1149 0.0778 2.8142924607e+05 -1.1402603661e+03 1.8041537968e+03 2.8656337678e-01 -7.4089057049e+00 2.2685834971e-01 1.6047983563e+05 -1.5744903999e+03 -1.1542490801e+03 3.3071416089e+00 9.5938324694e-01 -2.5977382021e-01
125298 2457502.22036 1269 0.0713 2.8279534592e+05 -1.1512404927e+03 1.7958875821e+03 3.0692758916e-01 -7.4088699137e+00 7.7419107746e-02 1.6152307626e+05 -1.5826227461e+03 -1.1580533438e+03 3.3223221940e+00 9.6112945742e-01 -3.2038528611e-01
125299 2457502.24081 832 0.0712 2.7884093332e+05 -1.1253047793e+03 1.7628631836e+03 2.6535425906e-01 -7.2819831925e+00 9.9247877569e-02 1.6303204433e+05 -1.5915025448e+03 -1.1352600283e+03 3.3356118616e+00 8.9842079504e-01 -2.1335655228e-01
125300 2457502.26122 1029 0.0871 2.7829766160e+05 -1.1254190374e+03 1.7220979012e+03 2.7024030845e-01 -7.1898307115e+00 -1.9124933665e-01 1.5106516890e+05 -1.5066783938e+03 -1.1747309928e+03 3.1857705829e+00 1.0480504496e+00 -1.9545967710e-01
125301 2457502.28167 1336 0.0711 2.7844742500e+05 -1.1269856287e+03 1.7175503211e+03 2.7304058038e-01 -7.1915840836e+00 -2.8250940730e-01 1.5210521711e+05 -1.5158648505e+03 -1.1892637724e+03 3.2043876477e+00 1.0792939378e+00 -3.0727053498e-01
125302 2457502.30210 1236 0.0718 2.7862451158e+05 -1.1316250694e+03 1.6850898102e+03 2.8614506919e-01 -7.1036824792e+00 -4.4073394328e-01 1.5210211657e+05 -1.5176779979e+03 -1.2071462018e+03 3.2102922149e+00 1.1286665678e+00 -3.9056516290e-01
125303 2457502.32254 1035 0.0727 2.8025286566e+05 -1.1445854447e+03 1.6764582036e+03 3.0921112253e-01 -7.1225815697e+00 -6.8959265988e-01 1.5804225932e+05 -1.5567810687e+03 -1.1584423445e+03 3.2750763618e+00 9.7681996570e-01 -2.4933539423e-01
125304 2457502.34297 1263 0.0715 2.8249624594e+05 -1.1586996218e+03 1.7012369505e+03 3.3232951392e-01 -7.1826018526e+00 -5.3362457830e-01 1.5470391068e+05 -1.5341930569e+03 -1.1797069115e+03 3.2362688515e+00 1.0370133409e+00 -3.4085206982e-01
125305 2457502.36341 1385 0.0704 2.8115339672e+05 -1.1477949550e+03 1.7105472471e+03 3.1092822015e-01 -7.2059375695e+00 -4.7863718013e-01 1.5684466226e+05 -1.5494757323e+03 -1.1737763614e+03 3.2637296265e+00 1.0194064177e+00 -3.1966933898e-01
