# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
125243 2457501.09646 4070 0.0626 2.8308158764e+05 -1.1605271146e+03 1.7263166071e+03 3.3592297764e-01 -7.1812023873e+00 -7.3916811683e-02 -1.6470162195e+05 1.6262348415e+03 1.1983972871e+03 -3.4185068018e+00 -1.2632414489e+00 -4.1591107287e-01
125244 2457501.11690 3320 0.0622 2.8323826288e+05 -1.1616643918e+03 1.7265673473e+03 3.3809317061e-01 -7.1800800332e+00 -6.4069549672e-02 -1.6499229800e+05 1.6284059316e+03 1.1984777327e+03 -3.4225012418e+00 -1.2624110418e+00 -4.1053499419e-01
125245 2457501.13733 3257 0.0623 2.8334737857e+05 -1.1623195277e+03 1.7280584729e+03 3.3911835890e-01 -7.1837719393e+00 -5.5257862999e-02 -1.6484251427e+05 1.6275620416e+03 1.2010279228e+03 -3.4214865377e+00 -1.2728943151e+00 -4.1531003850e-01
125246 2457501.15777 3299 0.0621 2.8259707729e+05 -1.1574194775e+03 1.7217576697e+03 3.3111234289e-01 -7.1632956477e+00 -6.8816978720e-02 -1.6458492158e+05 1.6252525178e+03 1.1971925186e+03 -3.4166485142e+00 -1.2621497266e+00 -4.3171290365e-01
125247 2457501.17820 4066 0.0618 2.8290581802e+05 -1.1595726967e+03 1.7230889108e+03 3.3483995724e-01 -7.1684362003e+00 -6.9658330840e-02 -1.6467957357e+05 1.6262128437e+03 1.1995409151e+03 -3.4187372175e+00 -1.2676282567e+00 -4.1643017948e-01
125248 2457501.19859 2924 0.0608 2.8236494039e+05 -1.1560298010e+03 1.7187159642e+03 3.2902470748e-01 -7.1543959420e+00 -7.9907754804e-02 -1.6529189212e+05 1.6308253919e+03 1.2001951037e+03 -3.4274274289e+00 -1.2701417568e+00 -4.1672305077e-01
125249 2457501.21908 3904 0.0642 2.8272171194e+05 -1.1583981694e+03 1.7213361639e+03 3.3304117978e-01 -7.1614312771e+00 -6.6980670249e-02 -1.6487886679e+05 1.6275397414e+03 1.1979808956e+03 -3.4209328579e+00 -1.2621400476e+00 -4.1778905444e-01
125250 2457501.23946 2826 0.0658 2.8109233805e+05 -1.1461811827e+03 1.7225986890e+03 3.1015277841e-01 -7.1659165178e+00 -6.5923182671e-02 -1.6435721965e+05 1.6230516006e+03 1.1921004502e+03 -3.4114206869e+00 -1.2395077197e+00 -4.1374434265e-01
125251 2457501.25992 536 0.0566 2.6214684659e+05 -1.0022611049e+03 1.7531676288e+03 3.7309494194e-02 -7.2728981835e+00 -3.4848319696e-02 -1.8699999494e+05 1.8041285636e+03 1.3142595474e+03 -3.7724304234e+00 -1.7088275270e+00 -4.8814360001e-01
125252 2457501.28029 3712 0.0828 2.8282794650e+05 -1.1585060053e+03 1.7275935313e+03 3.3173851535e-01 -7.1894270328e+00 -9.1256227121e-02 -1.6426104831e+05 1.6234697975e+03 1.2034215604e+03 -3.4141111731e+00 -1.2780649258e+00 -3.9788838464e-01
125253 2457501.30082 3891 0.0624 2.8284176215e+05 -1.1585169305e+03 1.7284360357e+03 3.3182280187e-01 -7.1880594712e+00 -6.9728958884e-02 -1.6451060010e+05 1.6249454864e+03 1.1998868462e+03 -3.4162467818e+00 -1.2667692789e+00 -4.0653181112e-01
125254 2457501.32125 3801 0.0634 2.8279883100e+05 -1.1581581768e+03 1.7288404813e+03 3.3102219939e-01 -7.1906966346e+00 -7.4998607573e-02 -1.6460509238e+05 1.6255518558e+03 1.1989394950e+03 -3.4172730119e+00 -1.2647132117e+00 -4.1339732268e-01
125255 2457501.34169 3507 0.0616 2.8334984756e+05 -1.1624270897e+03 1.7271950299e+03 3.3926470911e-01 -7.1847774650e+00 -7.5686314022e-02 -1.6469710428e+05 1.6261230366e+03 1.1977763365e+03 -3.4182212165e+00 -1.2622162467e+00 -4.2200668649e-01
125256 2457501.36212 3466 0.0614 2.8234200174e+05 -1.1550347514e+03 1.7263693496e+03 3.2571097033e-01 -7.1816881910e+00 -7.5368113651e-02 -1.6451073437e+05 1.6249257130e+03 1.1994732982e+03 -3.4161820643e+00 -1.2654241204e+00 -4.0730814957e-01
125257 2457501.38256 3523 0.0612 2.8398372203e+05 -1.1672450704e+03 1.7261171297e+03 3.4855654175e-01 -7.1780550068e+00 -6.2512326149e-02 -1.6456919857e+05 1.6253043108e+03 1.1989142940e+03 -3.4169325942e+00 -1.2661999871e+00 -4.2076303968e-01
125258 2457501.40300 3451 0.0588 2.8363682715e+05 -1.1646778223e+03 1.7261111584e+03 3.4391642130e-01 -7.1759276496e+00 -5.2306563437e-02 -1.6412688329e+05 1.6218789885e+03 1.1974321158e+03 -3.4102921113e+00 -1.2603127301e+00 -4.1889985067e-01
125259 2457501.42338 3485 0.0587 2.8207833507e+05 -1.1535864336e+03 1.7216991728e+03 3.2391391783e-01 -7.1653117655e+00 -7.9387849266e-02 -1.6464986736e+05 1.6257191696e+03 1.1969898069e+03 -3.4172693438e+00 -1.2573068059e+00 -4.1235617849e-01
125260 2457501.44387 3495 0.0594 2.8338222183e+05 -1.1632293489e+03 1.7219401545e+03 3.4191559442e-01 -7.1629011394e+00 -6.3568953791e-02 -1.6440422989e+05 1.6239401188e+03 1.1973220078e+03 -3.4141006976e+00 -1.2594946294e+00 -4.1684348895e-01
125261 2457501.46425 2565 0.0606 2.8252174613e+05 -1.1566026473e+03 1.7244253845e+03 3.2910071141e-01 -7.1734874563e+00 -6.9829553935e-02 -1.6382730952e+05 1.6191965922e+03 1.1928328650e+03 -3.4045065758e+00 -1.2440158393e+00 -4.2224942442e-01
125264 2457501.52561 2511 0.0750 2.8255245800e+05 -1.1563932111e+03 1.7281601586e+03 3.2822271991e-01 -7.1815439459e+00 -4.4684417077e-02 -1.6393477571e+05 1.6207223572e+03 1.2006698606e+03 -3.4085797789e+00 -1.2711227725e+00 -4.1361083740e-01
125265 2457501.54604 2969 0.0586 2.8493005500e+05 -1.1746380301e+03 1.7225171141e+03 3.6294726035e-01 -7.1650633291e+00 -6.5499815731e-02 -1.6481126185e+05 1.6275956232e+03 1.2041547397e+03 -3.4220459117e+00 -1.2845787936e+00 -4.1586758964e-01
125266 2457501.56648 2692 0.0593 2.8233376055e+05 -1.1550076737e+03 1.7258867086e+03 3.2589215895e-01 -7.1768312785e+00 -6.1875929628e-02 -1.6390102531e+05 1.6205977114e+03 1.2017706482e+03 -3.4082949789e+00 -1.2697556710e+00 -3.8768851450e-01
125267 2457501.58686 1609 0.0596 2.8228816745e+05 -1.1551221857e+03 1.7217071519e+03 3.2685725554e-01 -7.1629449986e+00 -6.9304943261e-02 -1.6394815281e+05 1.6202553111e+03 1.1951320755e+03 -3.4066681216e+00 -1.2506505240e+00 -4.1376836598e-01
125268 2457501.60730 1530 0.0621 2.8242542049e+05 -1.1565321164e+03 1.7179348920e+03 3.2995781441e-01 -7.1535265051e+00 -9.0960317081e-02 -1.6459620250e+05 1.6253046511e+03 1.1973932749e+03 -3.4163480210e+00 -1.2565081958e+00 -4.0173374381e-01
125269 2457501.62774 1607 0.0631 2.8227443779e+05 -1.1537544619e+03 1.7336689513e+03 3.2213295355e-01 -7.2042424802e+00 -5.4431417003e-02 -1.6430558485e+05 1.6233998073e+03 1.1997163232e+03 -3.4134305256e+00 -1.2679688644e+00 -4.1522053178e-01
125270 2457501.64817 919 0.0581 2.8038059226e+05 -1.1399399726e+03 1.7317285834e+03 2.9700240976e-01 -7.1960328055e+00 -4.9634453906e-02 -1.6271953997e+05 1.6113239228e+03 1.1967846755e+03 -3.3907705506e+00 -1.2629786928e+00 -4.4303048402e-01
125271 2457501.66856 903 0.0618 2.7817738184e+05 -1.1230773898e+03 1.7365937207e+03 2.6463967333e-01 -7.2164638149e+00 -6.0653807595e-02 -1.6372023746e+05 1.6194457288e+03 1.2032183811e+03 -3.4065703114e+00 -1.2762657321e+00 -3.9288796574e-01
125273 2457501.70946 492 0.0511 2.8287856930e+05 -1.1578705479e+03 1.7372009524e+03 3.2891943495e-01 -7.2204270701e+00 -6.8122262896e-02 -1.5360565199e+05 1.5437374076e+03 1.1975071766e+03 -3.2649009158e+00 -1.2549419859e+00 -3.9242299241e-01
125274 2457501.72996 447 0.0467 2.8870661494e+05 -1.2010835718e+03 1.7374132781e+03 4.0946772486e-01 -7.2127207124e+00 -2.7649793835e-02 -1.7713446001e+05 1.7234814467e+03 1.2438828196e+03 -3.6081165807e+00 -1.4308291976e+00 -4.0918172512e-01
125276 2457501.77078 2739 0.0604 2.7974108230e+05 -1.1359586617e+03 1.7245254156e+03 2.9071079201e-01 -7.1752892688e+00 -7.6783906782e-02 -1.6498729954e+05 1.6281491682e+03 1.1962001151e+03 -3.4216113611e+00 -1.2538180531e+00 -4.0959058829e-01
125277 2457501.79127 1661 0.0561 2.8648561085e+05 -1.1860008723e+03 1.7245344408e+03 3.8375632660e-01 -7.1710909344e+00 -5.6498199862e-02 -1.6384404262e+05 1.6202390248e+03 1.2015811439e+03 -3.4082711057e+00 -1.2788944761e+00 -4.3373408217e-01
125278 2457501.81171 2486 0.0583 2.8349254425e+05 -1.1637849426e+03 1.7245501661e+03 3.4250349682e-01 -7.1716732448e+00 -5.8788062434e-02 -1.6397383401e+05 1.6214364590e+03 1.2037026985e+03 -3.4106431971e+00 -1.2813893329e+00 -4.0824938474e-01
125279 2457501.83204 2037 0.0608 2.8264197787e+05 -1.1574527873e+03 1.7248367998e+03 3.3069438444e-01 -7.1731963126e+00 -6.0908944647e-02 -1.6513805042e+05 1.6291430480e+03 1.1947748701e+03 -3.4232823279e+00 -1.2496072226e+00 -4.1445053813e-01
125280 2457501.85251 1363 0.0570 2.8278868948e+05 -1.1594892263e+03 1.7157744448e+03 3.3610617912e-01 -7.1419005693e+00 -7.1736319679e-02 -1.6407780177e+05 1.6215101416e+03 1.1968896119e+03 -3.4093763414e+00 -1.2540224802e+00 -3.9820007920e-01
125281 2457501.87292 788 0.0539 2.8459598246e+05 -1.1721241932e+03 1.7233200802e+03 3.5835706683e-01 -7.1651590643e+00 -4.9282037616e-02 -1.6225320308e+05 1.6077270659e+03 1.1944804507e+03 -3.3831117764e+00 -1.2404714963e+00 -3.7630921364e-01
