# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
125243 2457501.09627 1215 0.0750 -3.4643941774e+05 1.6293991086e+03 -1.6964823948e+03 -1.2111073095e+00 7.0170168464e+00 -1.7279531643e-01 1.2891922343e+05 -1.3754627846e+03 -1.5026314546e+03 3.0030487236e+00 2.2538174710e+00 -2.3384469343e-01
125244 2457501.11671 778 0.0727 -3.4768458027e+05 1.6381815336e+03 -1.7004679572e+03 -1.2265746169e+00 7.0314294180e+00 -1.7433574331e-01 1.2569192733e+05 -1.3510869173e+03 -1.4968789473e+03 2.9583330527e+00 2.2583088708e+00 -1.0548272309e-01
125245 2457501.13714 1104 0.0749 -3.4636355657e+05 1.6285666089e+03 -1.6991837238e+03 -1.2093931964e+00 7.0205189982e+00 -2.0505013862e-01 1.2811787692e+05 -1.3698796316e+03 -1.5058042610e+03 2.9928654315e+00 2.2557291171e+00 -2.8254531679e-01
125246 2457501.15758 1036 0.0726 -3.4882698545e+05 1.6462712428e+03 -1.7039505543e+03 -1.2411448208e+00 7.0387642293e+00 -2.0218175470e-01 1.2996916848e+05 -1.3831502323e+03 -1.5017930986e+03 3.0169253369e+00 2.2468641239e+00 -2.5307045984e-01
125247 2457501.17801 1117 0.0730 -3.4805438259e+05 1.6415726462e+03 -1.6939230552e+03 -1.2342445175e+00 7.0034303334e+00 -1.9379637729e-01 1.2814841585e+05 -1.3712149502e+03 -1.5167200171e+03 2.9970481752e+00 2.2893823760e+00 -3.1593871857e-01
125248 2457501.19845 1169 0.0744 -3.4858198715e+05 1.6450511745e+03 -1.6980184477e+03 -1.2395777251e+00 7.0248887595e+00 -1.6223954515e-01 1.2878410400e+05 -1.3754191756e+03 -1.5118735782e+03 3.0037499608e+00 2.2683866069e+00 -3.3144554625e-01
125249 2457501.21889 1050 0.0729 -3.4980493216e+05 1.6515792240e+03 -1.7229810440e+03 -1.2490663660e+00 7.0760930343e+00 -3.6620605388e-01 1.2948341820e+05 -1.3799945656e+03 -1.5059142254e+03 3.0116171034e+00 2.2564718790e+00 -2.8129202586e-01
125250 2457501.23932 814 0.0745 -3.4597890166e+05 1.6277724903e+03 -1.6789719349e+03 -1.2117022312e+00 6.9458019837e+00 -2.0652186445e-01 1.3340459545e+05 -1.4055165049e+03 -1.4721333121e+03 3.0530231555e+00 2.1440686570e+00 -2.2092635095e-01
125251 2457501.25976 88 0.2559 -3.7521423792e+05 1.8741771225e+03 -1.3693191130e+03 -1.6953009538e+00 6.3535347984e+00 2.5403091378e+00 1.0107846210e+05 -1.1856859252e+03 -1.6601631855e+03 2.6644480189e+00 2.4874597541e+00 -1.9695934657e+00
125252 2457501.28019 1098 0.0784 -3.4818423963e+05 1.6405440069e+03 -1.7136915793e+03 -1.2299476025e+00 7.0512745532e+00 -3.1774690275e-01 1.2745511861e+05 -1.3650175918e+03 -1.5064475837e+03 2.9837947827e+00 2.2550617003e+00 -2.9755256648e-01
125253 2457501.30063 1167 0.0728 -3.4525256873e+05 1.6209879465e+03 -1.6929965251e+03 -1.1957445836e+00 7.0138472720e+00 -1.2421166434e-01 1.2733276138e+05 -1.3642206637e+03 -1.5075467712e+03 2.9830063446e+00 2.2687704884e+00 -2.4964679256e-01
125254 2457501.32106 1080 0.0731 -3.4565243730e+05 1.6253051927e+03 -1.6794905270e+03 -1.2062531255e+00 6.9635337370e+00 -1.2677233411e-01 1.2822709318e+05 -1.3701371785e+03 -1.5007996696e+03 2.9925698010e+00 2.2419840421e+00 -2.5942868446e-01
125255 2457501.34150 1102 0.0746 -3.4713518104e+05 1.6346627697e+03 -1.6951928451e+03 -1.2204141675e+00 7.0250664183e+00 -1.0888046959e-01 1.2674981203e+05 -1.3606029716e+03 -1.5143067447e+03 2.9770764066e+00 2.2833329124e+00 -3.0167135430e-01
125256 2457501.36193 1217 0.0737 -3.4621151681e+05 1.6276882802e+03 -1.6968095403e+03 -1.2078503935e+00 7.0191676164e+00 -1.6802552058e-01 1.2830799959e+05 -1.3713749563e+03 -1.5069419581e+03 2.9959882983e+00 2.2637250983e+00 -2.6396459239e-01
125257 2457501.38237 1216 0.0734 -3.4620881730e+05 1.6278214346e+03 -1.6952823321e+03 -1.2084940380e+00 7.0112201345e+00 -1.7964849420e-01 1.2868387995e+05 -1.3739227048e+03 -1.5046176913e+03 3.0003438209e+00 2.2565886533e+00 -2.5680673069e-01
125258 2457501.40281 1115 0.0718 -3.4795541190e+05 1.6391858253e+03 -1.7103816607e+03 -1.2268815487e+00 7.0622262926e+00 -2.0338086088e-01 1.2777389597e+05 -1.3680193638e+03 -1.5125138355e+03 2.9909565425e+00 2.2858101160e+00 -2.5653116341e-01
125259 2457501.42324 1212 0.0715 -3.4823978858e+05 1.6417086219e+03 -1.7061988755e+03 -1.2324096788e+00 7.0449906853e+00 -2.1234431634e-01 1.2804252812e+05 -1.3697494688e+03 -1.5099668769e+03 2.9936693854e+00 2.2761441942e+00 -2.5786037251e-01
125260 2457501.44368 1198 0.0713 -3.4900304772e+05 1.6473355124e+03 -1.7062515175e+03 -1.2428819589e+00 7.0431692212e+00 -2.2239904092e-01 1.2748929320e+05 -1.3660927625e+03 -1.5141127817e+03 2.9876128488e+00 2.2895286625e+00 -2.6738231224e-01
125261 2457501.46411 435 0.0749 -3.5534390605e+05 1.6950224113e+03 -1.6977182716e+03 -1.3319370238e+00 7.0229665852e+00 -1.6680240802e-01 1.2525625063e+05 -1.3506260740e+03 -1.5239063825e+03 2.9590692719e+00 2.2884975781e+00 -4.5141449753e-01
125262 2457501.48453 75 0.0715 -3.6216661629e+05 1.7472715149e+03 -1.6783314880e+03 -1.4271529826e+00 7.0448539428e+00 2.9892298153e-01 1.0953539213e+05 -1.2255652085e+03 -1.4343206472e+03 2.7032848332e+00 1.7911045552e+00 -1.2829139974e+00
125263 2457501.50494 15 0.5008 -3.9111483749e+05 1.9890482740e+03 -1.3972006381e+03 -1.9521044971e+00 5.4674074804e+00 -2.4059240512e+00 1.1223409767e+05 -1.2942696926e+03 -1.9276492024e+03 2.8273323076e+00 1.7561421497e+00 -1.0562939413e+01
125264 2457501.52542 678 0.0826 -3.5270912332e+05 1.6776525077e+03 -1.6766530913e+03 -1.3034583109e+00 6.9507444989e+00 -1.3682911487e-01 1.2776348147e+05 -1.3655661201e+03 -1.4897222906e+03 2.9829495853e+00 2.2197529156e+00 -1.6640641752e-01
125265 2457501.54585 713 0.0646 -3.4770132098e+05 1.6383507583e+03 -1.7000028139e+03 -1.2276163505e+00 7.0169809614e+00 -2.3656651743e-01 1.2813201175e+05 -1.3689747329e+03 -1.4965403845e+03 2.9891504410e+00 2.2178611077e+00 -3.0101506779e-01
125266 2457501.56629 840 0.0715 -3.4787276727e+05 1.6399071789e+03 -1.6970667531e+03 -1.2297647379e+00 7.0312403608e+00 -1.1174248164e-01 1.2785949526e+05 -1.3664467628e+03 -1.4910936736e+03 2.9846338939e+00 2.2197638202e+00 -1.9113167831e-01
125267 2457501.58673 552 0.0684 -3.4886162245e+05 1.6472687712e+03 -1.6967436120e+03 -1.2438489131e+00 7.0222530833e+00 -1.5133442914e-01 1.2452756545e+05 -1.3406702767e+03 -1.4794489440e+03 2.9347517202e+00 2.1739907788e+00 -2.0568439699e-01
125268 2457501.60716 523 0.0675 -3.4658672281e+05 1.6269212389e+03 -1.7323170424e+03 -1.2013566869e+00 7.1213382439e+00 -3.1170146329e-01 1.2872590091e+05 -1.3721715621e+03 -1.4847798772e+03 2.9946358698e+00 2.2097038568e+00 -1.2620501536e-01
125269 2457501.62760 335 0.0656 -3.4658527742e+05 1.6297077384e+03 -1.7041804917e+03 -1.2124072906e+00 7.0027026879e+00 -3.8501035838e-01 1.3169864948e+05 -1.3918034150e+03 -1.4614850662e+03 3.0261140510e+00 2.1140344650e+00 -1.7472046848e-01
125270 2457501.64803 342 0.0806 -3.4339566508e+05 1.6114485087e+03 -1.6519048114e+03 -1.1847849049e+00 6.8827878924e+00 -2.2856738234e-02 1.2920544735e+05 -1.3732913743e+03 -1.4603713789e+03 2.9914660688e+00 2.1042382904e+00 -2.0296571613e-01
125271 2457501.66847 348 0.0679 -3.4799889944e+05 1.6391744395e+03 -1.7136449283e+03 -1.2258914380e+00 7.0814510172e+00 -1.6692408674e-01 1.2607953838e+05 -1.3555731704e+03 -1.5132674488e+03 2.9670215050e+00 2.2672623444e+00 -3.6191182265e-01
125272 2457501.68889 111 0.0754 -3.4377277569e+05 1.6096306047e+03 -1.6976052506e+03 -1.1752991700e+00 7.0045031868e+00 -2.5648945420e-01 1.0143467151e+05 -1.1843635888e+03 -1.6204842519e+03 2.6520467183e+00 2.2886950949e+00 -2.2258934996e+00
